"WT"	"dQ"	"HtoA"	"Null"	"WT_pH7"
"Q0045"	1.6215084222994	-0.187658553331744	0.510784736974609	2.18478058434988	4.37106554729877
"Q0050"	3.18473121601209	4.0978576156912	3.76782193167195	4.4305413269261	6.10988201268923
"Q0055"	1.06827049519088	3.49029627082411	3.47653063738771	4.11381732991098	5.97096110368427
"Q0065"	2.65837474440985	0.299462447270724	4.21003755089086	0.62546275511758	5.74746793343961
"Q0120"	3.64135150044306	2.21678757598072	1.83160804201475	4.96908135038677	5.30710456861906
"Q0130"	0.992458560123929	1.77449664372522	0.311574546954604	1.26283801401408	4.48174010010545
"Q0140"	1.55332475944213	1.98680507762498	1.07408321258047	1.60767712296982	1.30724748472704
"Q0250"	2.19010557768613	1.00434574031445	3.11279071784906	0.805889207909119	3.88727201071671
"YAL001C"	0.0074597805516239	0.0656935106795385	-0.0848761322308112	-0.140343959918462	0.270797666782008
"YAL002W"	-0.464103645478198	-0.520786765310215	-0.804351994143782	-0.232126172002801	-0.344147764612323
"YAL003W"	-1.13813278573793	-0.898650432484756	-0.701300355664237	-1.23302184886174	0.701213572880119
"YAL005C"	-1.83216492203753	-0.787509030564258	-1.64334257679653	-1.20769295590468	1.08840265898396
"YAL007C"	-0.489729409570755	-0.0899624346105487	-0.132392720934185	-0.951661983992961	-0.635053746339848
"YAL008W"	0.648220239638759	0.665511029522513	0.86013544368938	0.00115165546337324	0.503937735768786
"YAL009W"	0.330882244000969	-0.116475831284178	0.137693793202319	-0.18000294298438	0.238788179775038
"YAL010C"	-0.29869606405791	-0.214606492077835	-0.10524656059623	-0.36861801473697	0.295276081097741
"YAL011W"	0.318753070763703	-0.0315148361691118	0.0183563857290175	0.57838294103935	1.33534788059699
"YAL012W"	-0.898426159104926	-0.854944235490272	-0.328570052398184	-2.61991721500984	0.72317620503535
"YAL013W"	0.414163722543453	0.253083515243491	0.203902287440394	0.128989127295659	0.901503449706758
"YAL014C"	0.185398756276429	0.609796056077083	0.412401296265197	0.0383571811525057	0.494317970739542
"YAL015C"	0.149326340134983	0.84504062070607	0.420497711594191	-0.444393236820004	1.16275974705213
"YAL016C-A"	-0.320161344395661	0.279191482992517	0.137696517030811	-0.838066183535663	0.742276993452945
"YAL016C-B"	1.1684983280351	0.381630998846835	0.916425164643415	0.94866967791131	0.438030384461647
"YAL016W"	-0.102461812487025	0.341428354294744	0.232320232564973	-0.307026416698292	0.0706820444026078
"YAL017W"	-0.0886363090740786	0.222920583554201	-0.165536420758654	-0.046273635897474	0.229550075843676
"YAL018C"	2.18364652016245	1.92584779001585	1.77750188158721	0.574210586146257	6.35438142180922
"YAL019W"	0.078242787837826	0.0957918692767768	0.431302172892394	0.339568018908581	0.693775692586778
"YAL019W-A"	-1.09609614698857	0.372483767359073	0.576327006877286	-0.683424223313306	1.16726175286418
"YAL020C"	0.727801673773249	0.273989896435822	0.6388346776144	0.306031782066387	0.502253421196709
"YAL021C"	-0.343972324883851	-0.161937688781362	-0.0872721775556098	-0.55424633252481	-0.779593281590131
"YAL022C"	-0.126852715132385	-0.412682318412182	-0.150832605675187	-0.430627604264081	-0.956124329194285
"YAL023C"	-0.629816622131997	-0.233062625435551	0.00395220905242627	-1.0377619457103	-0.539635840157491
"YAL024C"	-0.643741601710291	-0.32521986995473	-0.683939673381334	-0.490375259216993	-0.569104936776883
"YAL025C"	0.902253721428094	0.0511657985558595	1.6425510885992	1.44111370356664	1.7456214655431
"YAL026C"	-0.884765900709073	-0.179002520377745	-0.474296738559086	-1.00247942004189	-0.712425247164251
"YAL026C-A"	0.38137299961524	0.128109735528939	0.114379110926478	0.237330190491457	0.112813204922328
"YAL027W"	0.183842796725689	0.415319944260754	0.277432626534322	0.267669572186659	0.516973890206603
"YAL028W"	-0.100835319524802	0.121431201283196	-0.4539060361085	-0.0141195425627374	0.288897779858517
"YAL029C"	-0.397927554269502	-0.150737953855332	-0.17806647637564	-0.560699335221377	-0.303985903545276
"YAL030W"	0.964492086168038	0.97749153505658	1.07807735147575	0.156013374055592	0.819884239713306
"YAL031C"	-0.69157091345379	-0.186850119739144	-0.468433635246151	-0.495125089061277	-0.259484564406319
"YAL031W-A"	-0.0784373536868798	-0.299939932472818	-0.0718933398535257	0.0284521986608327	-0.193343822226854
"YAL032C"	0.44817826561582	0.232667115545611	0.138811126707511	0.71517090978457	0.745584486401703
"YAL033W"	0.240447557821611	0.117353291138134	0.444934497608729	0.335620525074026	0.00847415685913126
"YAL034C"	0.684822136140115	1.50306854425073	1.06559012142796	0.637963429999254	2.18016338799065
"YAL034C-B"	0.557398750283915	0.861623815788566	1.0790047999506	1.28112835976542	-0.460350765024543
"YAL034W-A"	0.0926318113504195	-0.261872554545226	-0.192173693600187	0.547136435162557	-0.600990317181306
"YAL035W"	0.168248545652889	0.183660483366088	0.72197168032267	-0.176882784089964	0.00302813343642988
"YAL036C"	1.03390465617332	0.057663229851085	1.04330926285621	1.56128050566521	1.08296414217287
"YAL037C-B"	-1.38806390471182	-0.0696117513052083	0.136862079793618	-3.71921352486873	-2.50407392829281
"YAL037W"	-0.841802141466077	-0.837050722837069	-1.24890748271965	-0.990113880559667	-0.890912374815564
"YAL038W"	-2.22367878377327	-1.11273473095707	-0.974099103450221	-4.79678209579775	-2.75342665776964
"YAL039C"	0.482863890651516	0.291764724651891	0.503686292896205	0.492502845635161	0.543350261713526
"YAL040C"	-2.16314405583192	-1.95092784585078	-1.79600251918746	-2.78851529036041	-0.896731742588654
"YAL041W"	-0.475685602969482	-0.123504509352896	-0.31242158655573	-0.499310542059933	0.0181775586993583
"YAL042C-A"	-0.913100416560107	-3.16860098536782	-1.60028470310487	0.137473510987931	1.7001561359385
"YAL042W"	0.289254018867887	-0.330795643404549	0.245545444673174	0.131392710111276	0.417620707797943
"YAL043C"	0.155485760697962	-0.504647367766798	-0.128908137190479	0.157475031375536	-0.0541074944200711
"YAL044C"	0.874518239433599	0.635501050552574	0.938051129458648	0.11045286039094	-1.30821705137137
"YAL044W-A"	1.29441191035681	0.894828307508783	1.46142426084777	0.52579523812721	0.680136249387751
"YAL045C"	-0.528572650506189	-1.59305260144584	-0.810044948492458	-0.560613266925687	-1.70818869827126
"YAL046C"	0.359135909781692	0.130264597972813	0.094415953115388	0.0967204603324768	-0.164947427174956
"YAL047C"	0.34822392809161	0.212927997294295	0.397633453854552	0.205379070165021	0.386481934353179
"YAL047W-A"	0.0739351327298289	-0.59234284661691	-4.45574115909747	-0.269522525968939	-0.898532941527434
"YAL048C"	-0.236605169672796	0.0710173397051232	-0.0900440076853702	-0.102088873276696	0.0717372866144624
"YAL049C"	0.41092211264413	0.412695948204352	0.453077047792753	0.179499439605879	-0.337832694597524
"YAL051W"	-0.044039951035954	0.557561500827042	0.0585019656033913	0.0513218054262824	0.0660518372592255
"YAL053W"	0.549606388248658	-0.551316959705856	0.121679447888063	0.248558258311482	1.45141863175454
"YAL054C"	4.99971821952746	3.7959193872689	3.66982169590875	5.76920192698466	2.97447894745878
"YAL055W"	-0.417512651086024	0.119596689894708	-0.246721787993935	-0.146481256919767	0.00552002424086833
"YAL056C-A"	0.612226305830322	0.476920195628291	1.13850212691758	0.182118089453626	-0.775392116949317
"YAL056W"	0.223286347012562	0.199940349125162	0.116654539399281	0.284484511565956	-0.371675289734921
"YAL058W"	0.0208542012208379	-0.259294650754814	0.11828437495311	-0.370719645689204	-0.207889056438192
"YAL059W"	0.219778955135833	-0.521988936561762	0.470756480374527	1.27395229106958	-0.660070922178213
"YAL060W"	0.491435832467696	1.4992202792203	0.623430739423649	0.354359501250747	0.566326958133409
"YAL061W"	-0.954661243612728	-1.68121279833778	-1.25089591164835	0.456766634520369	-0.430741534788849
"YAL062W"	0.591653170025842	-0.011762604010878	-0.259268684014531	0.58287685885046	0.1447958188432
"YAL063C"	-0.0856137817190852	-0.305880433400363	-0.566405751912898	0.42198992530472	-1.47696397351091
"YAL063C-A"	-0.203877529571767	0.41471954033342	-2.42507881086013	-0.0114836012654056	-4.14686546317964
"YAL064C-A"	-0.330564081193873	-0.66457524697406	-0.496840968159331	0.398909991036619	-1.13011781278977
