"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"ext_gene"	"description"
"YDR256C"	21620.7735053618	5.27130427889684	0.347943109305149	12.2758697173993	1.22072926210869e-34	2.0227483873141e-31	"CTA1"	"Catalase A; breaks down hydrogen peroxide in the peroxisomal matrix formed by acyl-CoA oxidase (Pox1p) during fatty acid beta-oxidation [Source:SGD;Acc:S000002664]"
"YJL089W"	938.530564731393	4.97611080343493	0.33930841035712	11.71827954176	1.02737246008279e-31	1.36188493308575e-28	"SIP4"	"C6 zinc cluster transcriptional activator; binds to the carbon source-responsive element (CSRE) of gluconeogenic genes; involved in the positive regulation of gluconeogenesis; regulated by Snf1p protein kinase; localized to the nucleus [Source:SGD;Acc:S000003625]"
"YMR303C"	41655.5879294055	8.17579071418973	0.61576653836604	11.6534275039221	2.204117336e-31	2.43481495050133e-28	"ADH2"	"Glucose-repressible alcohol dehydrogenase II; catalyzes the conversion of ethanol to acetaldehyde; involved in the production of certain carboxylate esters; regulated by ADR1 [Source:SGD;Acc:S000004918]"
"YLR307C-A"	466.587088619218	9.91714676860976	0.781678713855716	11.4076878525001	3.82768763873326e-30	3.62427338136058e-27	""	"Putative protein of unknown function [Source:SGD;Acc:S000028525]"
"YMR107W"	15739.9228514317	5.14090466209349	0.399369760550865	10.3685984046008	3.44541036731614e-25	2.28361799145713e-22	"SPG4"	"Protein required for high temperature survival during stationary phase; not required for growth on nonfermentable carbon sources [Source:SGD;Acc:S000004713]"
"YGR236C"	1693.08230142178	5.11392778587583	0.399157242741747	10.3065342310161	6.58327180114971e-25	3.96672049982002e-22	"SPG1"	"Protein required for high temperature survival during stationary phase; not required for growth on nonfermentable carbon sources; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies [Source:SGD;Acc:S000003468]"
"YNL117W"	10291.4753485786	8.1745440153321	0.76768675431753	9.3456660219574	9.13129441291961e-21	4.65555533606394e-18	"MLS1"	"Malate synthase, enzyme of the glyoxylate cycle; involved in utilization of non-fermentable carbon sources; expression is subject to carbon catabolite repression; localizes in peroxisomes during growth on oleic acid, otherwise cytosolic; can accept butyryl-CoA as acyl-CoA donor in addition to traditional substrate acetyl-CoA [Source:SGD;Acc:S000005061]"
"YPL223C"	3662.63073265383	3.78101645016491	0.348982468638792	7.96892881471174	1.60055616335447e-15	5.05166011938733e-13	"GRE1"	"Hydrophilin essential in desiccation-rehydration process; stress induced (osmotic, ionic, oxidative, heat shock and heavy metals); regulated by the HOG pathway; GRE1 has a paralog, SIP18, that arose from the whole genome duplication [Source:SGD;Acc:S000006144]"
"YMR175W"	541.754151987625	3.40624486039592	0.30861632906482	7.7968812204053	6.3455917290873e-15	1.91175372638139e-12	"SIP18"	"Phospholipid-binding hydrophilin; essential to overcome desiccation-rehydration process; expression is induced by osmotic stress; SIP18 has a paralog, GRE1, that arose from the whole genome duplication [Source:SGD;Acc:S000004787]"
"YNL013C"	183.80440013953	3.80216757764476	0.364507911091193	7.6875356950585	1.49996005887226e-14	4.32249359574146e-12	""	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF HEF3/YNL014W [Source:SGD;Acc:S000004958]"
"YAR035W"	43471.6444260482	7.13427718572092	0.819154107902596	7.48855084353716	6.9638210514737e-14	1.92317524704865e-11	"YAT1"	"Outer mitochondrial carnitine acetyltransferase; minor ethanol-inducible enzyme involved in transport of activated acyl groups from the cytoplasm into the mitochondrial matrix; phosphorylated [Source:SGD;Acc:S000000080]"
"YER024W"	24120.8931460348	4.81615264724148	0.528405600643207	7.22201400325096	5.12231966307761e-13	1.35802938907514e-10	"YAT2"	"Carnitine acetyltransferase; has similarity to Yat1p, which is a carnitine acetyltransferase associated with the mitochondrial outer membrane [Source:SGD;Acc:S000000826]"
"YOR100C"	5742.13149857908	4.81874591847283	0.535018235155985	7.13759955744213	9.49748309490204e-13	2.399735410154e-10	"CRC1"	"Mitochondrial inner membrane carnitine transporter; required for carnitine-dependent transport of acetyl-CoA from peroxisomes to mitochondria during fatty acid beta-oxidation [Source:SGD;Acc:S000005626]"
"YDR384C"	6086.63747519689	4.37113917797483	0.472569985962176	7.13362946889447	9.77562704800212e-13	2.399735410154e-10	"ATO3"	"Plasma membrane protein, putative ammonium transporter; regulation pattern suggests a possible role in export of ammonia from the cell; phosphorylated in mitochondria; member of the TC 9.B.33 YaaH family of putative transporters [Source:SGD;Acc:S000002792]"
"YOR142W-A"	367.344872377978	21.2874296245688	2.87548858522075	7.05529826438569	1.72230886553445e-12	3.93636660715943e-10	""	"Retrotransposon TYA Gag gene co-transcribed with TYB Pol; translated as TYA or TYA-TYB polyprotein; Gag is a nucleocapsid protein that is the structural constituent of virus-like particles (VLPs); similar to retroviral Gag [Source:SGD;Acc:S000007351]"
"YPR158W-A"	367.344872377978	21.2874296245688	2.87548858522075	7.05529826438569	1.72230886553445e-12	3.93636660715943e-10	""	"Retrotransposon TYA Gag gene co-transcribed with TYB Pol; translated as TYA or TYA-TYB polyprotein; Gag is a nucleocapsid protein that is the structural constituent of virus-like particles (VLPs); similar to retroviral Gag [Source:SGD;Acc:S000007363]"
"YPL156C"	974.145670464679	2.81872849255918	0.258408348343517	7.0381955699877	1.94745229247706e-12	4.30257126484597e-10	"PRM4"	"Pheromone-regulated protein proposed to be involved in mating; predicted to have 1 transmembrane segment; transcriptionally regulated by Ste12p during mating and by Cat8p during the diauxic shift [Source:SGD;Acc:S000006077]"
