	WT_5	WT_7	dQ	HtoA	Null
YDR256C	38.34044206	11.54398201	8.928467483	15.59834222	44.19323266
YJL089W	32.27663938	12.41819175	5.954775799	7.704229405	13.61343942
YMR303C	287.444328	37.25396594	23.37511224	42.23625189	96.63114375
YLR307C-A	997.0848894	44.00585611	9.271435772	11.23430431	108.2145528
YMR107W	35.74331638	57.5366618	52.60399247	58.04642478	6.791526183
YGR236C	34.90687308	30.68081848	2.799601301	8.57697505	4.286504614
YNL117W	292.8103401	24.64860941	2.304525158	15.09987338	31.87203696
YPL223C	14.10366839	30.78008278	1.551991665	1.814165372	1.547769374
YMR175W	10.61036843	11.72979979	2.392164561	2.275460852	2.264419673
YNL013C	13.90592516	6.833296862	2.76327925	4.952901107	4.134006397
YAR035W	139.4385377	54.76563603	16.2526156	23.24425361	61.61047944
YER024W	28.41406514	11.28288851	4.942629402	7.138961423	12.99507601
YOR100C	28.26349458	8.425905184	5.230057512	7.648364284	4.369581291
YDR384C	20.2311185	2.311195123	2.08718364	4.11746121	20.6244556
YOR142W-A	0	0	28.06910877	0	3.637078526
YPR158W-A	0	0	28.06910877	0	3.637078526
YPL156C	7.221613865	2.868254296	1.020179555	1.708490611	2.802725992
YAR035C-A	326.5611075	90.94569148	0	7.507774362	124.8913689
YNL202W	14.34519686	7.901787919	7.27232088	13.30440805	10.14949457
YGL056C	4.068503884	3.206371627	1.6780412	2.407157696	4.398580219
YCR005C	13.35889646	21.42678793	4.433535321	5.582535236	27.14022836
YIL057C	37.20812378	16.39740465	19.23650996	12.68939746	60.12074495
YAL054C	38.56610759	7.844416713	8.356059229	7.827436648	52.46774042
YER065C	57.6693314	7.216214878	2.023594066	6.614519916	18.67041642
YPR001W	15.97724209	4.380189902	2.923419277	3.981088638	15.56489705
YJR095W	133.2701569	18.74814484	20.32532541	24.21976158	38.32063998
YKR097W	30.55261355	4.953933385	2.861025117	5.564252779	5.647249585
YDL085W	14.39648264	4.139904681	1.291490094	3.085325974	5.687351779
YMR096W	4.73063916	1.90080635	2.49319142	2.23628608	3.911194013
YNL014W	6.142642001	6.008200806	2.062896403	2.219213774	2.588663204
YGR239C	3.707360529	2.186074242	1.79350432	2.02993864	3.069650897
YBL043W	36.12192863	7.022569968	4.377005487	6.396025998	10.31653509
YGL205W	17.75251787	9.674897396	10.5333389	14.88426409	7.280491621
YML042W	14.93974651	5.725527348	6.819159927	8.230753274	6.970710434
YLR377C	23.67118126	3.538943644	1.458138632	4.795537698	6.949954741
YBR050C	7.495618152	2.111209567	0.820955924	1.316102878	4.652042029
YNL270C	9.27599048	2.178628882	0.88347542	0.85279251	1.869795278
YOR084W	12.77185658	4.043068939	2.699096172	4.75513222	7.491994999
YPL134C	4.362079115	1.345018417	1.599397579	1.771872056	1.776041705
YHR096C	7.613969449	12.73537497	0.665943211	1.592809418	3.051874794
YML043C	7.65508816	9.701632996	2.493822517	5.446479245	10.82468876
YKR009C	11.14392217	6.176671105	6.308206407	7.409176849	6.967358613
YJL037W	4.860220074	2.768537343	2.833917428	3.285100077	2.866726259
YCR010C	19.61188038	7.276246049	10.00537738	7.809985345	28.70224083
YLR174W	26.15576606	2.79559072	3.865091633	5.184636394	3.395897437
YJL088W	8.481576249	3.563992301	0.764746573	0.80405282	3.450154296
YMR174C	7.303286877	4.977907963	10.84630693	6.518616994	2.136855417
YPR002W	8.835009971	4.212889276	2.359203658	2.820568562	6.456970542
YDR536W	11.56059693	1.901315991	1.04841257	3.132587103	1.568111482
YOL147C	5.320736295	2.468339299	1.768229177	2.65144238	5.544478596
YIL160C	10.63397955	7.413277462	8.997069436	7.953494535	14.69810158
YDR275W	3.540509513	2.313265587	0.914097338	1.298124212	1.902184901
YKL217W	10.32415416	14.20925663	7.789283021	5.606609774	9.089905917
YLR284C	7.921434127	3.402458433	3.324582854	5.805898072	4.810358079
YLR164W	4.724011394	2.823536697	1.048370024	1.588131016	1.729485348
YOR235W	11.14360877	5.128741379	0.876291007	2.395653968	4.926671199
YNL240C	3.339514324	2.887753687	1.695310359	2.068703656	3.822686631
YPL222C-A	5.289688808	5.159330067	0.681315109	1.351254479	2.006147413
