"WT_Dex_1"	"WT_Dex_2"	"WT_Dex_4"	"dQ_snf5_Dex_1"	"dQ_snf5_Dex_2"	"dQ_snf5_Dex_4"	"HtoA_snf5_Dex_1"	"HtoA_snf5_Dex_2"	"HtoA_snf5_Dex_4"	"Null_Dex_1"	"Null_Dex_2"	"Null_Dex_4"	"WT_Stv_pH5_1"	"WT_Stv_pH5_2"	"WT_Stv_pH5_4"	"WT_Stv_pH7_1"	"WT_Stv_pH7_2"	"WT_Stv_pH7_4"	"dQ_snf5_Stv_pH5_2"	"dQ_snf5_Stv_pH5_3"	"dQ_snf5_Stv_pH5_4"	"HtoA_snf5_Stv_pH5_2"	"HtoA_snf5_Stv_pH5_3"	"HtoA_snf5_Stv_pH5_4"	"Null_Stv_pH5_2"	"Null_Stv_pH5_3"	"Null_Stv_pH5_4"
"Q0045"	1.52314183557812	0.875758851059875	3.12745183125603	0	1.98113109681707	0.968898678343543	0.866817411560983	3.74639307917914	0	1.23855102421968	2.91302374244371	1.45544001013214	9.64507216587837	4.09583702239772	3.21267764007003	30.0492998531899	65.9724543455482	29.3201364879315	3.31031880183414	0	0	2.13266910416466	0	1.2752513941228	4.1779800628652	4.11442695687073	6.33223991805965
"Q0050"	0	2.62727655317962	0	0	2.9716966452256	0	0	1.87319653958957	0	0	0.582604748488742	0	3.85802886635135	9.83000885375453	7.22852469015757	50.6093471211619	72.7971910019842	48.5614760581365	19.8619128110049	43.9255718455216	1.1227348716788	9.59701096874097	17.5663431729219	3.82575418236839	2.50678803771912	6.17164043530609	3.16611995902983
"Q0055"	0	4.37879425529937	0	1.11644744100296	0	0.968898678343543	0	3.74639307917914	0	0.619275512109842	0	0	0	3.27666961791818	0.803169410017508	44.2831787310166	156.968943098028	74.2165954850766	13.2412752073366	18.8252450766521	2.24546974335759	8.53067641665864	30.9994291286857	12.752513941228	3.34238405029216	8.91459173988657	1.58305997951491
"Q0060"	0	0	0	0	0	0	0	0.936598269794784	0.810094991542267	1.85782653632953	0	0	0	0	0	0	2.27491221881201	4.5812713262393	3.31031880183414	2.09169389740579	0	2.13266910416466	5.16657152144762	0	0.835596012573041	0	0
"Q0065"	0	0	0	1.11644744100296	1.98113109681707	0	0	0	0	0	0	2.18316001519821	0.964507216587837	0	2.40950823005252	4.74462629260893	4.54982443762401	20.1575938354529	3.31031880183414	6.27508169221738	0	3.19900365624699	13.4330859557638	0	1.67119202514608	1.37147565229024	0
"Q0105"	0	0	0	0	0	0	0.866817411560982	0	0	0	0	0	0	0	0	11.0707946827542	11.37456109406	9.16254265247859	0	0	0	3.19900365624699	2.06662860857905	0	2.50678803771912	0	0.791529989757456
"Q0110"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.27491221881201	5.49752559148715	6.62063760366829	14.6418572818405	0	0	5.16657152144763	2.5505027882456	0	0	1.58305997951491
"Q0120"	0	0	0	0	0	0	0	0	0	0	0	0	0.964507216587837	0	0	9.48925258521785	6.82473665643602	2.74876279574358	3.31031880183414	0	0	0	0	0	9.19155613830345	2.74295130458048	1.58305997951491
"Q0130"	0.76157091778906	0	0.781862957814008	0	0	0	0	0.936598269794784	0	0	0	0	0	5.73417183135681	0	11.0707946827542	34.1236832821801	2.74876279574358	3.31031880183414	0	0	1.06633455208233	0	0	0	0.685737826145121	0
"Q0140"	4.56942550673436	0.875758851059875	4.69117774688405	0	1.98113109681707	1.93779735668709	2.60045223468295	1.87319653958957	8.10094991542267	6.81203063320827	5.82604748488742	1.45544001013214	9.64507216587837	11.4683436627136	14.4570493803151	11.0707946827542	2.27491221881201	10.9950511829743	6.62063760366829	6.27508169221737	10.1046138451092	6.39800731249398	9.29982873860572	8.92675975885958	9.19155613830345	5.48590260916097	15.8305997951491
"Q0160"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.74462629260893	15.924385531684	16.4925767744615	0	0	0	0	0	0	0	0	0
"Q0250"	0.76157091778906	0.875758851059875	0	0	1.98113109681707	0	0	0	0	1.85782653632953	0	0	0	9.01084144927499	0	6.32616839014523	13.649473312872	3.66501706099144	0	4.18338779481158	0	2.13266910416466	0	2.5505027882456	0	1.37147565229024	0
"Q0275"	0	0	0	0	0	0	0	0	0	0	0	2.91088002026428	0	0.819167404479545	0	1.58154209753631	15.924385531684	8.24628838723073	9.93095640550243	0	0	0	0	0	0.835596012573041	0	0
"YAL001C"	1614.53034571281	1589.50231467367	1469.90236069033	1317.40798038349	1402.64081654649	1079.35312767471	1593.21040244909	1801.07847281537	1433.05804003827	1670.80533167236	2072.32509037446	1407.41048979778	1689.81664346189	1886.54253251639	1280.25203956791	2263.18674157446	1799.4555650803	1610.77499830574	1532.67760524921	792.751987116795	1146.31230398405	1664.54823580052	1218.27756475735	1193.63530489894	1568.4137155996	1184.95496357877	1479.36955085669
"YAL002W"	1631.28490590417	1494.04459990815	1383.11557237298	1356.4836408186	1416.5087342242	1110.3578853817	1584.54222833348	2004.32029736084	1411.99557025817	1402.65903492879	1850.93528594873	1253.86156872884	1141.97654444	1132.08935299073	960.59061438094	1168.75961007933	1283.05049140997	1092.17508417545	916.958308108058	587.765985171027	781.423470688441	1100.45725774896	779.118985434302	724.342791861749	1219.13458234407	1016.94919617321	1291.77694328417
"YAL003W"	7539.55208611169	6286.19703290778	7624.7275646022	26869.5405626182	25730.9306854601	29647.3306586341	15099.9593093923	16855.0224632269	10285.7761076122	2996.05492758742	2956.71909858037	3780.50542631824	2096.83868886196	2400.97966252955	6038.22762451163	10768.7201421247	15166.8397628196	7342.86168169634	15773.6690907397	29015.9777448131	15081.6975312613	5844.57967996325	16061.8375458764	18264.1504666267	1242.53127069611	1027.23526356539	1740.57444747665
"YAL005C"	71078.1753281707	71524.1011249111	56024.3902421627	83512.5014819034	84246.6093265975	69210.370391436	95078.6014218895	104922.421173761	87367.934742842	19518.325590678	27170.9376552695	29789.9461273847	17717.9975687186	16707.7383817648	14048.2361506162	154206.68067818	193497.208595493	69877.2152848627	55682.8725656521	62662.9657784827	44293.0134226001	24480.9086467061	65093.6345987186	22208.5030286485	10075.6167196057	11461.4220261896	11067.9638467785
"YAL007C"	840.012722321332	788.182965953888	886.632594161085	980.240853200599	995.518376150577	1128.76696027023	925.76099554713	868.226596099765	913.787150459678	962.354145818695	991.010677179351	793.942525527083	499.6147381925	600.449707483506	660.205255034392	544.05048155249	616.501211298054	463.624658215417	910.33767050439	1033.29678531846	1113.75299270536	736.83717548889	857.650872560306	1049.53189736306	542.301812159904	447.786800472764	486.790943700836
