"WT_Dex_1"	"WT_Dex_2"	"WT_Dex_4"	"dQ_snf5_Dex_1"	"dQ_snf5_Dex_2"	"dQ_snf5_Dex_4"	"HtoA_snf5_Dex_1"	"HtoA_snf5_Dex_2"	"HtoA_snf5_Dex_4"	"Null_Dex_1"	"Null_Dex_2"	"Null_Dex_4"	"WT_Stv_pH5_1"	"WT_Stv_pH5_2"	"WT_Stv_pH5_4"	"WT_Stv_pH7_1"	"WT_Stv_pH7_2"	"WT_Stv_pH7_4"	"dQ_snf5_Stv_pH5_2"	"dQ_snf5_Stv_pH5_3"	"dQ_snf5_Stv_pH5_4"	"HtoA_snf5_Stv_pH5_2"	"HtoA_snf5_Stv_pH5_3"	"HtoA_snf5_Stv_pH5_4"	"Null_Stv_pH5_2"	"Null_Stv_pH5_3"	"Null_Stv_pH5_4"
"YGL158W"	3557.2977569927	5039.11642899852	4340.12127882556	576.086879557527	827.122232921127	590.059295111218	1265.55342087903	2045.53062123181	1991.21348921089	793.911206524818	1101.12297464372	871.808566069152	73.3025484606756	103.215092964423	72.2852469015757	336.868466775234	664.274367893106	329.851535489229	158.895302488039	83.6677558962316	129.114510243061	138.623491770703	39.2659435630019	62.4873183120171	842.280780673625	634.993227010382	568.318532645854
"YIL162W"	33672.8581300433	35023.3479715865	18218.1887800242	6690.86951393074	8188.01482314495	4842.55559436103	18527.3553547044	20088.1596905585	13006.8851842026	4388.18627881034	4346.81402847451	3709.18886582176	980.903839269831	1146.01519886688	1752.5156526582	3968.0891227186	4511.15092990421	3687.92341762263	4386.17241243024	3865.4503224059	3974.48144574294	2979.33873851803	3849.09578347848	2559.42954800445	3547.94066938513	3708.47016379281	2663.49841553384
"YHR092C"	13661.0591233002	11487.3288493524	12784.2412232168	3876.30551516228	3910.7527851169	3119.85374426621	13211.1641696009	11512.6659323175	8610.49966510276	2588.57164061914	3354.63814179818	2682.37593867354	283.565121676824	438.254561396556	374.276945068159	2997.0222748313	4479.30215884084	1698.73540776953	665.374079168663	219.627859227608	361.520628680572	645.13240400981	526.990295187658	241.022513489209	1839.14682367326	909.28835746843	794.696109716486
"YDR256C"	1895.55001437697	2205.16078696876	1382.33370941517	1911.35801899707	1885.04623862144	1360.33374439433	2410.61922155109	2258.13842847522	2115.9681179084	904.76152319248	1126.75758357723	1087.21368756871	68043.0906086222	77141.8136472432	65037.4461455777	21072.4669075738	15119.0666062246	27104.6336745622	12714.9345178449	7015.54133189902	26311.2917177926	52222.66835368	25609.6617175116	27998.144357966	53871.7105265965	50937.2914638857	33017.8819927425
"YJL089W"	111.950924914992	125.233515701562	102.424047473635	63.6375041371687	94.1037270988108	37.7870484553982	59.8104013977078	86.1670408211201	62.3773143487546	109.611765643442	161.96412007987	183.38544127665	4367.28867670973	4241.64882039508	2352.48320194128	1972.18299562778	1014.61084959015	1230.52947822787	519.720051887961	303.29561512384	341.311400990354	849.868638009617	292.427948113936	462.916256066575	1733.02613007649	1773.31801841128	2687.24431522656
"YMR303C"	578.793897519685	770.66778893269	756.061480206145	533.661876799415	605.235550077615	726.674008757657	1009.84228446854	849.494630703869	1568.34390362583	820.540053545541	696.795279192536	994.793246925318	239889.341388077	215586.839176118	149744.511142484	31287.6473155608	19939.6055978872	27211.8354235962	7405.18315970298	1677.53850571944	34525.2200389946	82768.8879326305	13084.8590352183	48918.6434785505	84350.0750851982	73514.5236518877	84885.2591615691
"YLR307C-A"	0.761570917789059	3.5030354042395	4.69117774688405	2.23289488200592	1.98113109681707	1.93779735668709	1.73363482312197	0.936598269794784	4.8605699492536	8.66985716953779	13.9825139637298	5.82176004052856	3760.61363747598	4105.66703125148	1063.39629886318	156.572667656095	100.096137627728	137.438139787179	6.62063760366829	16.7335511792463	33.6820461503639	53.3167276041165	13.4330859557638	17.8535195177192	959.264222433851	251.665782195259	1870.38536579687
"YMR011W"	85099.4574955851	87457.6576610944	109750.88525131	42475.2428929576	47345.0709517343	45752.3644900604	72937.4842783873	75228.5096281868	90206.5075932061	54021.88002339	51911.8309045924	48220.910695693	816.937612449898	1181.2393972595	2668.12878007816	6886.03429267309	10576.066905257	7246.65498384532	5660.64515113639	2518.39945247657	3919.46743703067	4103.25535641281	3266.30651585919	4379.21328741769	7488.61146467959	2227.9621971455	1101.01821575262
"YHR210C"	1130.17124199896	1343.41407752585	1009.38507853788	769.232286851039	784.52791433956	571.65022022269	1027.17863269976	974.99879885637	1040.97206413181	904.76152319248	1116.85330285292	1045.00592727488	126.350445373007	125.33261288537	131.719783242871	215.089725264938	384.460164979229	227.231057781469	211.860403317385	121.318246049536	214.44236049065	146.087833635279	141.564059687665	153.030167294736	398.579297997341	417.614336122379	512.119903373074
"YMR107W"	1194.90477001103	1416.10206216382	1053.95126713328	81.500663193216	131.745217938335	92.0453744426365	295.584737342295	275.359891319666	439.881580407451	146.768296370033	119.433973440192	169.558761180394	53679.6491391961	48991.1257923036	28326.9819219075	87849.9188918493	55805.8716396773	67213.6641357872	7905.04129877994	3878.00048579034	4276.49712622453	26650.8994601937	25430.8983428695	6593.04970761486	1035.303459578	1359.81810924577	564.360882697066
"YGR236C"	194.20058403621	232.951854381927	140.735332406521	119.459876187317	114.90560361539	67.822907484048	149.95941220005	159.221705865113	134.475768596016	138.098439200495	138.659930140321	196.484401367839	8401.82236369665	7170.99145881393	4250.37251781265	7449.06327939601	4263.1854980537	5711.0128352899	268.135822948566	96.2179192806664	481.653259950203	2071.88803469597	946.515902729205	786.830110173766	598.286745002297	774.883743543987	655.386831519174
"YFR015C"	54067.7273084343	52188.2214523601	40484.8639556093	15833.457608304	16261.1240426745	10311.9886336103	45353.6206076937	43995.7671253402	39027.1363125403	4242.65653346453	4064.83333020595	4194.57810920083	2629.24667241844	3280.76545494058	2827.15632326163	17468.1324672885	17073.2162021841	12603.9936727495	9397.99507840714	4911.2972711088	5559.78308455339	9923.30934167817	13193.3570371687	3543.92362426725	2107.37314370921	2559.85930499974	1614.72117910521
"YNL117W"	274.165530404061	248.715513701004	222.049080019178	324.886205331861	395.235653815005	231.566784124107	327.656981570051	295.965053255152	278.67267709054	205.599470020468	226.050642413632	267.073241859248	75465.9381474821	88829.6941743573	53827.6106899634	10504.6026118362	3180.32728189918	4676.56176982507	499.858139076956	179.885675176898	1513.44660702302	9348.55501810579	326.52732015549	3949.4535675983	6165.0273807639	3046.04742373663	13058.6617710185
"YGR287C"	2041.01005967468	3150.98034611343	1847.5421693145	793.794130553104	809.292053049773	631.72193827999	1314.96201333801	1346.8283119649	1518.92810914175	1683.81011742666	1900.45668957028	1656.29073153038	148.534111354527	153.184304637675	183.122625483992	202.437388484647	366.260867228733	114.531783155982	370.755705805424	225.902940919825	270.57910407459	194.072888478984	282.09480507104	159.40642426535	526.425487921016	621.27847048748	339.566365605949
"YIL119C"	1044.87529920659	940.565006038306	912.434071768947	245.618437020651	268.443263618713	193.779735668709	753.264330646494	631.267233841684	644.835613267645	159.773082124339	237.702737383407	229.231801595812	76.1960701104391	88.4700796837908	83.5296186418208	82.240189071888	218.391573005953	106.285494768752	89.3786076495219	135.960103331376	110.028017424522	135.424488114456	197.363032119299	235.921507912718	67.6832770184163	45.9444343517231	61.7393392010816
