"WT_Dex_1"	"WT_Dex_2"	"WT_Dex_4"	"dQ_snf5_Dex_1"	"dQ_snf5_Dex_2"	"dQ_snf5_Dex_4"	"HtoA_snf5_Dex_1"	"HtoA_snf5_Dex_2"	"HtoA_snf5_Dex_4"	"Null_Dex_1"	"Null_Dex_2"	"Null_Dex_4"	"WT_Stv_pH5_1"	"WT_Stv_pH5_2"	"WT_Stv_pH5_4"	"WT_Stv_pH7_1"	"WT_Stv_pH7_2"	"WT_Stv_pH7_4"	"dQ_snf5_Stv_pH5_2"	"dQ_snf5_Stv_pH5_3"	"dQ_snf5_Stv_pH5_4"	"HtoA_snf5_Stv_pH5_2"	"HtoA_snf5_Stv_pH5_3"	"HtoA_snf5_Stv_pH5_4"	"Null_Stv_pH5_2"	"Null_Stv_pH5_3"	"Null_Stv_pH5_4"
"YDR256C"	1895.55001437697	2205.16078696876	1382.33370941517	1911.35801899707	1885.04623862144	1360.33374439433	2410.61922155109	2258.13842847522	2115.9681179084	904.76152319248	1126.75758357723	1087.21368756871	68043.0906086222	77141.8136472432	65037.4461455777	21072.4669075738	15119.0666062246	27104.6336745622	12714.9345178449	7015.54133189902	26311.2917177926	52222.66835368	25609.6617175116	27998.144357966	53871.7105265965	50937.2914638857	33017.8819927425
"YJL089W"	111.950924914992	125.233515701562	102.424047473635	63.6375041371687	94.1037270988108	37.7870484553982	59.8104013977078	86.1670408211201	62.3773143487546	109.611765643442	161.96412007987	183.38544127665	4367.28867670973	4241.64882039508	2352.48320194128	1972.18299562778	1014.61084959015	1230.52947822787	519.720051887961	303.29561512384	341.311400990354	849.868638009617	292.427948113936	462.916256066575	1733.02613007649	1773.31801841128	2687.24431522656
"YMR303C"	578.793897519685	770.66778893269	756.061480206145	533.661876799415	605.235550077615	726.674008757657	1009.84228446854	849.494630703869	1568.34390362583	820.540053545541	696.795279192536	994.793246925318	239889.341388077	215586.839176118	149744.511142484	31287.6473155608	19939.6055978872	27211.8354235962	7405.18315970298	1677.53850571944	34525.2200389946	82768.8879326305	13084.8590352183	48918.6434785505	84350.0750851982	73514.5236518877	84885.2591615691
"YLR307C-A"	0.761570917789059	3.5030354042395	4.69117774688405	2.23289488200592	1.98113109681707	1.93779735668709	1.73363482312197	0.936598269794784	4.8605699492536	8.66985716953779	13.9825139637298	5.82176004052856	3760.61363747598	4105.66703125148	1063.39629886318	156.572667656095	100.096137627728	137.438139787179	6.62063760366829	16.7335511792463	33.6820461503639	53.3167276041165	13.4330859557638	17.8535195177192	959.264222433851	251.665782195259	1870.38536579687
"YMR107W"	1194.90477001103	1416.10206216382	1053.95126713328	81.500663193216	131.745217938335	92.0453744426365	295.584737342295	275.359891319666	439.881580407451	146.768296370033	119.433973440192	169.558761180394	53679.6491391961	48991.1257923036	28326.9819219075	87849.9188918493	55805.8716396773	67213.6641357872	7905.04129877994	3878.00048579034	4276.49712622453	26650.8994601937	25430.8983428695	6593.04970761486	1035.303459578	1359.81810924577	564.360882697066
"YGR236C"	194.20058403621	232.951854381927	140.735332406521	119.459876187317	114.90560361539	67.822907484048	149.95941220005	159.221705865113	134.475768596016	138.098439200495	138.659930140321	196.484401367839	8401.82236369665	7170.99145881393	4250.37251781265	7449.06327939601	4263.1854980537	5711.0128352899	268.135822948566	96.2179192806664	481.653259950203	2071.88803469597	946.515902729205	786.830110173766	598.286745002297	774.883743543987	655.386831519174
"YNL117W"	274.165530404061	248.715513701004	222.049080019178	324.886205331861	395.235653815005	231.566784124107	327.656981570051	295.965053255152	278.67267709054	205.599470020468	226.050642413632	267.073241859248	75465.9381474821	88829.6941743573	53827.6106899634	10504.6026118362	3180.32728189918	4676.56176982507	499.858139076956	179.885675176898	1513.44660702302	9348.55501810579	326.52732015549	3949.4535675983	6165.0273807639	3046.04742373663	13058.6617710185
"YPL223C"	635.911716353865	770.66778893269	501.174155958779	356.146733679944	338.773417555719	224.784493375702	420.406444607077	457.059955659855	584.078488901975	640.330879521577	582.022143740253	699.338924868494	13500.20751058	8863.39131646867	4542.72618305903	27599.4911441061	16197.3749979415	14923.9494723571	648.822485159492	359.771350353796	418.780107136191	1152.707650801	1093.24653393832	405.52994333105	878.211409214266	1291.93006445741	804.194469593576
"YMR175W"	178.969165680429	209.30636540331	148.553961984661	54.705924609145	60.4244984529206	43.6004405254594	57.2099491630249	58.0690927272766	75.3388342134309	95.3684288649157	80.3994552914464	110.613440770043	2582.95032602223	1558.87557072457	1554.13280838388	2883.15124380869	2218.03941334171	1195.71181614846	162.205621289873	156.877042305434	60.6276830706549	185.542212062326	143.630688296244	104.570614318069	203.049831055249	237.265287846212	208.172387306211
"YNL013C"	49.5021096562889	68.3091903826702	29.7107923969323	25.6782911430681	15.8490487745366	11.6267841401225	9.53499152717081	22.4783584750748	21.8725647716412	90.414224768037	83.8950837823789	66.2225204610124	842.97930729777	765.102355783895	443.349514329664	374.825477116105	316.212798414869	317.023975775759	43.0341444238439	23.0086328714637	80.8369107608732	145.021499083197	56.8322867359239	65.0378211002627	377.689397683014	240.693976976937	375.976745134792
"YAR035W"	1134.7406675057	1038.64999735701	1086.78951136147	266.830938399707	263.49043587667	297.451894251468	386.600565556198	363.400128680376	1015.04902440246	2275.21823149156	1673.82344240816	3721.56010590788	160177.642473175	185400.520321046	109016.593529906	82248.0967823757	40450.2141626963	55847.5299753875	2989.21787805623	422.52216727597	10041.7406922951	26208.3706210795	1021.94784694234	13796.9448330145	134575.244612926	158095.484342105	179918.724321819
"YER024W"	3005.92041251342	3285.84720917665	2677.09876755516	1387.74416916668	1623.53693384159	1042.53497789765	1594.07721986065	1816.06404513209	2444.05658948302	4375.18149305604	5462.50212183045	5490.6474382235	100010.717795209	89996.1885583362	64835.0474542533	47058.7851121929	20353.639621711	33782.2947596886	7216.49498799844	1213.18246049536	11606.8331034154	26006.833390736	3917.29452756159	11868.7647251009	61878.3915190714	70650.1967520795	66664.2387973525
