sample	path	Condition	BiologicalReplicate	GrowthCondition	SequencingRun
WT_Dex_1	/Users/HoltLab/Documents/R/Experiments/RNA_seq_ADH2_Nacho_12.28.17/Kallisto_Results/E1-1_S19_L004_R1_001/kallisto	WT_Dex	1	Dex	1
dQ_snf5_Dex_1	/Users/HoltLab/Documents/R/Experiments/RNA_seq_ADH2_Nacho_12.28.17/Kallisto_Results/E1-2_S20_L004_R1_001/kallisto	dQ_snf5_Dex	1	Dex	1
HtoA_snf5_Dex_1	/Users/HoltLab/Documents/R/Experiments/RNA_seq_ADH2_Nacho_12.28.17/Kallisto_Results/E1-3_S21_L004_R1_001/kallisto	HtoA_snf5_Dex	1	Dex	1
Null_Dex_1	/Users/HoltLab/Documents/R/Experiments/RNA_seq_ADH2_Nacho_12.28.17/Kallisto_Results/E1-4_S22_L004_R1_001/kallisto	Null_Dex	1	Dex	1
WT_Stv_pH5_1	/Users/HoltLab/Documents/R/Experiments/RNA_seq_ADH2_Nacho_12.28.17/Kallisto_Results/E1-5_S23_L004_R1_001/kallisto	WT_Stv_pH5	1	Stv	1
WT_Stv_pH7_1	/Users/HoltLab/Documents/R/Experiments/RNA_seq_ADH2_Nacho_12.28.17/Kallisto_Results/E1-9_S27_L004_R1_001/kallisto	WT_Stv_pH7	1	Stv	1
WT_Dex_2	/Users/HoltLab/Documents/R/Experiments/RNA_seq_ADH2_Nacho_12.28.17/Kallisto_Results/E2-1_S28_L004_R1_001/kallisto	WT_Dex	2	Dex	1
dQ_snf5_Dex_2	/Users/HoltLab/Documents/R/Experiments/RNA_seq_ADH2_Nacho_12.28.17/Kallisto_Results/E2-2_S29_L004_R1_001/kallisto	dQ_snf5_Dex	2	Dex	1
HtoA_snf5_Dex_2	/Users/HoltLab/Documents/R/Experiments/RNA_seq_ADH2_Nacho_12.28.17/Kallisto_Results/E2-3_S30_L004_R1_001/kallisto	HtoA_snf5_Dex	2	Dex	1
Null_Dex_2	/Users/HoltLab/Documents/R/Experiments/RNA_seq_ADH2_Nacho_12.28.17/Kallisto_Results/E2-4_S31_L004_R1_001/kallisto	Null_Dex	2	Dex	1
WT_Stv_pH5_2	/Users/HoltLab/Documents/R/Experiments/RNA_seq_ADH2_Nacho_12.28.17/Kallisto_Results/E2-5_S32_L004_R1_001/kallisto	WT_Stv_pH5	2	Stv	1
dQ_snf5_Stv_pH5_2	/Users/HoltLab/Documents/R/Experiments/RNA_seq_ADH2_Nacho_12.28.17/Kallisto_Results/E2-6_S33_L004_R1_001/kallisto	dQ_snf5_Stv_pH5	2	Stv	1
HtoA_snf5_Stv_pH5_2	/Users/HoltLab/Documents/R/Experiments/RNA_seq_ADH2_Nacho_12.28.17/Kallisto_Results/E2-7_S34_L004_R1_001/kallisto	HtoA_snf5_Stv_pH5	2	Stv	1
Null_Stv_pH5_2	/Users/HoltLab/Documents/R/Experiments/RNA_seq_ADH2_Nacho_12.28.17/Kallisto_Results/E2-8_S35_L004_R1_001/kallisto	Null_Stv_pH5	2	Stv	1
WT_Stv_pH7_2	/Users/HoltLab/Documents/R/Experiments/RNA_seq_ADH2_Nacho_12.28.17/Kallisto_Results/E2-9_S36_L004_R1_001/kallisto	WT_Stv_pH7	2	Stv	1
dQ_snf5_Stv_pH5_3	/Users/HoltLab/Documents/R/Experiments/RNA_seq_ADH2_Nacho_12.28.17/Kallisto_Results/E3-6_S42_L005_R1_001/kallisto	dQ_snf5_Stv_pH5	3	Stv	2
HtoA_snf5_Stv_pH5_3	/Users/HoltLab/Documents/R/Experiments/RNA_seq_ADH2_Nacho_12.28.17/Kallisto_Results/E3-7_S43_L005_R1_001/kallisto	HtoA_snf5_Stv_pH5	3	Stv	2
Null_Stv_pH5_3	/Users/HoltLab/Documents/R/Experiments/RNA_seq_ADH2_Nacho_12.28.17/Kallisto_Results/E3-8_S44_L005_R1_001/kallisto	Null_Stv_pH5	3	Stv	2
WT_Dex_4	/Users/HoltLab/Documents/R/Experiments/RNA_seq_ADH2_Nacho_12.28.17/Kallisto_Results/E4-1_S45_L005_R1_001/kallisto	WT_Dex	4	Dex	2
dQ_snf5_Dex_4	/Users/HoltLab/Documents/R/Experiments/RNA_seq_ADH2_Nacho_12.28.17/Kallisto_Results/E4-2_S46_L005_R1_001/kallisto	dQ_snf5_Dex	4	Dex	2
HtoA_snf5_Dex_4	/Users/HoltLab/Documents/R/Experiments/RNA_seq_ADH2_Nacho_12.28.17/Kallisto_Results/E4-3_S47_L005_R1_001/kallisto	HtoA_snf5_Dex	4	Dex	2
Null_Dex_4	/Users/HoltLab/Documents/R/Experiments/RNA_seq_ADH2_Nacho_12.28.17/Kallisto_Results/E4-4_S48_L005_R1_001/kallisto	Null_Dex	4	Dex	2
WT_Stv_pH5_4	/Users/HoltLab/Documents/R/Experiments/RNA_seq_ADH2_Nacho_12.28.17/Kallisto_Results/E4-5_S49_L005_R1_001/kallisto	WT_Stv_pH5	4	Stv	2
dQ_snf5_Stv_pH5_4	/Users/HoltLab/Documents/R/Experiments/RNA_seq_ADH2_Nacho_12.28.17/Kallisto_Results/E4-6_S50_L005_R1_001/kallisto	dQ_snf5_Stv_pH5	4	Stv	2
HtoA_snf5_Stv_pH5_4	/Users/HoltLab/Documents/R/Experiments/RNA_seq_ADH2_Nacho_12.28.17/Kallisto_Results/E4-7_S51_L005_R1_001/kallisto	HtoA_snf5_Stv_pH5	4	Stv	2
Null_Stv_pH5_4	/Users/HoltLab/Documents/R/Experiments/RNA_seq_ADH2_Nacho_12.28.17/Kallisto_Results/E4-8_S52_L005_R1_001/kallisto	Null_Stv_pH5	4	Stv	2
WT_Stv_pH7_4	/Users/HoltLab/Documents/R/Experiments/RNA_seq_ADH2_Nacho_12.28.17/Kallisto_Results/E4-9_S53_L005_R1_001/kallisto	WT_Stv_pH7	4	Stv	2
